id,order_id,user_id,days_since_prior_order,product_id,add_to_cart_order,reordered,order_timestamp,date
5512,11000,7284,5,87,1,1,2025-04-03T05:00:00,2025-04-03
5513,11001,1216,29,144,1,1,2025-04-03T19:48:00,2025-04-03
5514,11001,1216,6,589,2,1,2025-04-03T19:48:00,2025-04-03
5515,11001,1216,26,170,3,0,2025-04-03T19:48:00,2025-04-03
5516,11001,1216,7,336,4,0,2025-04-03T19:48:00,2025-04-03
5517,11001,1216,13,678,5,0,2025-04-03T19:48:00,2025-04-03
5518,11001,1216,29,799,6,0,2025-04-03T19:48:00,2025-04-03
5519,11001,1216,28,245,7,1,2025-04-03T19:48:00,2025-04-03
5520,11001,1216,12,828,8,1,2025-04-03T19:48:00,2025-04-03
5521,11001,1216,1,762,9,0,2025-04-03T19:48:00,2025-04-03
5522,11002,4204,15,969,1,1,2025-04-03T23:31:00,2025-04-03
5523,11002,4204,1,895,2,0,2025-04-03T23:31:00,2025-04-03
5524,11002,4204,2,981,3,0,2025-04-03T23:31:00,2025-04-03
5525,11002,4204,5,862,4,0,2025-04-03T23:31:00,2025-04-03
5526,11002,4204,1,907,5,1,2025-04-03T23:31:00,2025-04-03
5527,11002,4204,22,844,6,1,2025-04-03T23:31:00,2025-04-03
5528,11002,4204,18,513,7,1,2025-04-03T23:31:00,2025-04-03
5529,11003,3858,20,997,1,0,2025-04-03T13:34:00,2025-04-03
5530,11003,3858,30,527,2,0,2025-04-03T13:34:00,2025-04-03
5531,11004,5783,5,389,1,0,2025-04-03T01:00:00,2025-04-03
5532,11004,5783,7,112,2,0,2025-04-03T01:00:00,2025-04-03
5533,11004,5783,26,72,3,0,2025-04-03T01:00:00,2025-04-03
5534,11005,4097,19,73,1,0,2025-04-03T01:55:00,2025-04-03
5535,11005,4097,19,494,2,1,2025-04-03T01:55:00,2025-04-03
5536,11005,4097,18,118,3,0,2025-04-03T01:55:00,2025-04-03
5537,11005,4097,11,617,4,1,2025-04-03T01:55:00,2025-04-03
5538,11005,4097,24,865,5,1,2025-04-03T01:55:00,2025-04-03
5539,11005,4097,17,865,6,1,2025-04-03T01:55:00,2025-04-03
5540,11005,4097,28,224,7,0,2025-04-03T01:55:00,2025-04-03
5541,11005,4097,14,625,8,1,2025-04-03T01:55:00,2025-04-03
5542,11005,4097,17,15,9,1,2025-04-03T01:55:00,2025-04-03
5543,11005,4097,23,737,10,0,2025-04-03T01:55:00,2025-04-03
5544,11006,4098,6,808,1,1,2025-04-03T23:42:00,2025-04-03
5545,11006,4098,11,262,2,1,2025-04-03T23:42:00,2025-04-03
5546,11006,4098,8,990,3,1,2025-04-03T23:42:00,2025-04-03
5547,11007,6439,30,59,1,1,2025-04-03T23:33:00,2025-04-03
5548,11007,6439,13,710,2,1,2025-04-03T23:33:00,2025-04-03
5549,11007,6439,24,936,3,0,2025-04-03T23:33:00,2025-04-03
5550,11007,6439,4,870,4,0,2025-04-03T23:33:00,2025-04-03
5551,11007,6439,6,88,5,0,2025-04-03T23:33:00,2025-04-03
5552,11008,1259,12,434,1,0,2025-04-03T21:33:00,2025-04-03
5553,11008,1259,19,256,2,0,2025-04-03T21:33:00,2025-04-03
5554,11008,1259,4,891,3,1,2025-04-03T21:33:00,2025-04-03
5555,11008,1259,10,291,4,0,2025-04-03T21:33:00,2025-04-03
5556,11008,1259,15,835,5,0,2025-04-03T21:33:00,2025-04-03
5557,11009,6592,16,941,1,1,2025-04-03T20:21:00,2025-04-03
5558,11009,6592,25,487,2,0,2025-04-03T20:21:00,2025-04-03
5559,11009,6592,21,85,3,0,2025-04-03T20:21:00,2025-04-03
5560,11009,6592,26,406,4,1,2025-04-03T20:21:00,2025-04-03
5561,11009,6592,7,780,5,0,2025-04-03T20:21:00,2025-04-03
5562,11009,6592,2,896,6,1,2025-04-03T20:21:00,2025-04-03
5563,11009,6592,2,696,7,1,2025-04-03T20:21:00,2025-04-03
5564,11010,8688,17,823,1,1,2025-04-03T11:35:00,2025-04-03
5565,11010,8688,21,698,2,0,2025-04-03T11:35:00,2025-04-03
5566,11010,8688,6,563,3,1,2025-04-03T11:35:00,2025-04-03
5567,11010,8688,9,619,4,0,2025-04-03T11:35:00,2025-04-03
5568,11010,8688,6,319,5,1,2025-04-03T11:35:00,2025-04-03
5569,11011,8778,18,716,1,1,2025-04-03T01:27:00,2025-04-03
5570,11011,8778,20,146,2,0,2025-04-03T01:27:00,2025-04-03
5571,11011,8778,3,67,3,0,2025-04-03T01:27:00,2025-04-03
5572,11011,8778,5,520,4,0,2025-04-03T01:27:00,2025-04-03
5573,11011,8778,9,564,5,1,2025-04-03T01:27:00,2025-04-03
5574,11011,8778,2,652,6,0,2025-04-03T01:27:00,2025-04-03
5575,11011,8778,7,161,7,1,2025-04-03T01:27:00,2025-04-03
5576,11011,8778,23,925,8,1,2025-04-03T01:27:00,2025-04-03
5577,11011,8778,27,141,9,0,2025-04-03T01:27:00,2025-04-03
5578,11011,8778,3,483,10,0,2025-04-03T01:27:00,2025-04-03
5579,11012,5292,18,390,1,0,2025-04-03T23:20:00,2025-04-03
5580,11012,5292,12,414,2,1,2025-04-03T23:20:00,2025-04-03
5581,11012,5292,9,677,3,0,2025-04-03T23:20:00,2025-04-03
5582,11012,5292,22,939,4,1,2025-04-03T23:20:00,2025-04-03
5583,11012,5292,19,147,5,0,2025-04-03T23:20:00,2025-04-03
5584,11012,5292,14,266,6,1,2025-04-03T23:20:00,2025-04-03
5585,11012,5292,10,580,7,1,2025-04-03T23:20:00,2025-04-03
5586,11012,5292,17,168,8,1,2025-04-03T23:20:00,2025-04-03
5587,11012,5292,10,216,9,1,2025-04-03T23:20:00,2025-04-03
5588,11013,5469,15,750,1,1,2025-04-03T10:52:00,2025-04-03
5589,11013,5469,8,740,2,1,2025-04-03T10:52:00,2025-04-03
5590,11013,5469,0,837,3,0,2025-04-03T10:52:00,2025-04-03
5591,11013,5469,13,602,4,1,2025-04-03T10:52:00,2025-04-03
5592,11013,5469,24,982,5,0,2025-04-03T10:52:00,2025-04-03
5593,11013,5469,10,249,6,0,2025-04-03T10:52:00,2025-04-03
5594,11013,5469,7,457,7,1,2025-04-03T10:52:00,2025-04-03
5595,11014,9505,0,697,1,1,2025-04-03T21:53:00,2025-04-03
5596,11014,9505,13,717,2,0,2025-04-03T21:53:00,2025-04-03
5597,11014,9505,20,740,3,1,2025-04-03T21:53:00,2025-04-03
5598,11014,9505,11,762,4,0,2025-04-03T21:53:00,2025-04-03
5599,11014,9505,1,4,5,1,2025-04-03T21:53:00,2025-04-03
5600,11014,9505,6,568,6,0,2025-04-03T21:53:00,2025-04-03
5601,11014,9505,5,371,7,1,2025-04-03T21:53:00,2025-04-03
5602,11014,9505,30,205,8,0,2025-04-03T21:53:00,2025-04-03
5603,11015,8345,26,120,1,1,2025-04-03T22:10:00,2025-04-03
5604,11015,8345,25,471,2,1,2025-04-03T22:10:00,2025-04-03
5605,11015,8345,27,139,3,1,2025-04-03T22:10:00,2025-04-03
5606,11015,8345,23,251,4,1,2025-04-03T22:10:00,2025-04-03
5607,11015,8345,3,955,5,0,2025-04-03T22:10:00,2025-04-03
5608,11015,8345,25,780,6,0,2025-04-03T22:10:00,2025-04-03
5609,11015,8345,14,320,7,1,2025-04-03T22:10:00,2025-04-03
5610,11016,8457,4,208,1,1,2025-04-03T04:19:00,2025-04-03
5611,11017,9150,9,427,1,0,2025-04-03T15:00:00,2025-04-03
5612,11017,9150,6,706,2,1,2025-04-03T15:00:00,2025-04-03
5613,11017,9150,25,519,3,0,2025-04-03T15:00:00,2025-04-03
5614,11017,9150,17,237,4,1,2025-04-03T15:00:00,2025-04-03
5615,11017,9150,15,247,5,1,2025-04-03T15:00:00,2025-04-03
5616,11017,9150,9,839,6,1,2025-04-03T15:00:00,2025-04-03
5617,11017,9150,16,645,7,1,2025-04-03T15:00:00,2025-04-03
